CALL,USAF,WBAN,STATION NAME,CTRY,ST,LAT,LON,EVEV,data start,data end,good start,gaps after good start
KLAX,722950,23174,LOS ANGELES INTERNATIONAL AIR,US,CA,+33.938,-118.389,+0029.6,1944-01-02 00:00:00+00:00,2017-05-15 23:00:00+00:00,1947-01-01 14:00:00+00:00,6
KSFO,724940,23234,SAN FRANCISCO INTERNATIONAL A,US,CA,+37.620,-122.365,+0002.4,1948-01-02 00:00:00+00:00,2017-05-16 23:00:00+00:00,1948-01-02 00:00:00+00:00,164
KSAN,722900,23188,SAN DIEGO INTERNATIONAL AIRPO,US,CA,+32.734,-117.183,+0004.6,1942-01-01 00:00:00+00:00,2017-05-16 23:00:00+00:00,1948-01-01 14:00:00+00:00,166
KMIA,722020,12839,MIAMI INTERNATIONAL AIRPORT,US,FL,+25.791,-080.316,+0008.8,1948-01-01 00:00:00+00:00,2017-05-16 23:00:00+00:00,1948-01-01 00:00:00+00:00,157
KFAT,723890,93193,FRESNO YOSEMITE INTERNATIONAL,US,CA,+36.780,-119.719,+0101.5,1941-12-04 00:00:00+00:00,2017-05-17 23:00:00+00:00,1949-08-21 14:00:00+00:00,75
KJAX,722060,13889,JACKSONVILLE  INTERNATIONAL A,US,FL,+30.495,-081.694,+0007.9,1948-01-01 00:00:00+00:00,2017-05-17 23:00:00+00:00,1948-01-01 00:00:00+00:00,68
KTPA,722110,12842,TAMPA INTERNATIONAL AIRPORT,US,FL,+27.962,-082.540,+0005.8,1940-08-01 00:00:00+00:00,2017-05-17 23:00:00+00:00,1948-01-01 11:00:00+00:00,67
KRIV,722860,23119,MARCH AIR RESERVE BASE,US,CA,+33.900,-117.250,+0468.2,1933-01-02 00:00:00+00:00,2017-05-17 23:00:00+00:00,1941-09-01 08:00:00+00:00,160
KIAH,722430,12960,G BUSH INTERCONTINENTAL AP/HO,US,TX,+29.980,-095.360,+0029.0,1969-06-01 00:00:00+00:00,2017-05-16 23:00:00+00:00,1969-06-01 00:00:00+00:00,32
KMCO,722050,12815,ORLANDO INTERNATIONAL AIRPORT,US,FL,+28.434,-081.325,+0027.4,1952-05-08 00:00:00+00:00,2017-05-17 23:00:00+00:00,1973-01-01 00:00:00+00:00,5
KBUR,722880,23152,BURBANK-GLENDALE-PASA ARPT,US,CA,+34.201,-118.358,+0236.2,1943-06-01 00:00:00+00:00,2017-05-17 23:00:00+00:00,1973-01-01 00:00:00+00:00,375
